examples/banking/bank/initiatives/instant-refunds/initiative.md (frontmatter)	flow-context requoting (yaml.v3 quotes a plain `://` scalar inside `{...}`)
examples/banking/bank/workspaces/team-fraud-detection/teams/fraud-detection/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/workspaces/team-fraud-detection/teams/fraud-detection/team.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/workspaces/team-fraud-detection/workspace.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/workspaces/team-payments-rails/teams/payments-rails/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/workspaces/team-payments-rails/teams/payments-rails/team.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/workspaces/team-payments-rails/workspace.yaml	80-column line folding (usually together with the indent difference)
examples/banking/small-company/company-ontology/ids/registry.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/small-company/company-os/standards/company-baseline.yaml	80-column line folding (usually together with the indent difference)
examples/banking/small-company/platforms/product/change-records/active/2026-instant-statements/prd.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/banking/small-company/platforms/product/components/banking-app.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/small-company/platforms/product/generated/feature-index.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/small-company/platforms/product/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/banking/small-company/teams/core/governance/deviations.yaml	80-column line folding (usually together with the indent difference)
examples/banking/small-company/teams/core/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/small-company/teams/core/team.yaml	80-column line folding (usually together with the indent difference)
examples/failing-federated/workspace.lock.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/company-ontology/ids/registry.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/company-os/standards/company-baseline.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/platforms/alpha/components/svc-alpha.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/platforms/beta/change-records/active/2035-beta-change/prd.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/failing-workspace/platforms/beta/components/svc-beta.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/platforms/beta/generated/feature-index.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/teams/ghost/governance/deviations.yaml	80-column line folding (usually together with the indent difference)
examples/failing-workspace/teams/ghost/governance/exceptions.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/teams/ghost/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/teams/ghost/product/discovery/2035-bad-pointers/brief.md (frontmatter)	block-sequence indent (safe_dump writes `key:\n- item`)
examples/failing-workspace/teams/ghost/team.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/federated/company-ontology/contexts/communications.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/federated/company-ontology/ids/registry.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/federated/company-os/standards/company-baseline.yaml	80-column line folding (usually together with the indent difference)
examples/federated/platforms/communications/components/customer-notification-service.yaml	80-column line folding (usually together with the indent difference)
examples/federated/platforms/communications/generated/feature-index.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/federated/platforms/communications/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/federated/platforms/communications/reality/components/customer-notification-service.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/federated/platforms/communications/skills/creating-prd.SKILL.md (frontmatter)	block-sequence indent (safe_dump writes `key:\n- item`)
examples/federated/teams/customer-engagement/generated/effective-governance.yaml	80-column line folding (usually together with the indent difference)
examples/federated/teams/customer-engagement/governance/deviations.yaml	80-column line folding (usually together with the indent difference)
examples/federated/teams/customer-engagement/governance/exceptions.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/federated/teams/customer-engagement/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/federated/teams/customer-engagement/team.yaml	80-column line folding (usually together with the indent difference)
examples/federated/workspace.lock.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/standalone-team/teams/solo/team.yaml	80-column line folding (usually together with the indent difference)
examples/workspace/company-ontology/contexts/communications.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/workspace/company-ontology/ids/registry.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/workspace/company-os/standards/company-baseline.yaml	80-column line folding (usually together with the indent difference)
examples/workspace/platforms/communications/archive/prds/2026-per-channel-quiet-hours/prd.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/workspace/platforms/communications/components/customer-notification-service.yaml	80-column line folding (usually together with the indent difference)
examples/workspace/platforms/communications/generated/feature-index.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/workspace/platforms/communications/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/workspace/platforms/communications/reality/components/customer-notification-service.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/workspace/platforms/communications/skills/creating-prd.SKILL.md (frontmatter)	block-sequence indent (safe_dump writes `key:\n- item`)
examples/workspace/teams/customer-engagement/generated/effective-governance.yaml	80-column line folding (usually together with the indent difference)
examples/workspace/teams/customer-engagement/governance/deviations.yaml	80-column line folding (usually together with the indent difference)
examples/workspace/teams/customer-engagement/governance/exceptions.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/workspace/teams/customer-engagement/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/workspace/teams/customer-engagement/team.yaml	80-column line folding (usually together with the indent difference)
